name,developer,location,min_price,max_price,avg_price,min_area,max_area,avg_area,min_bedrooms,max_bedrooms,delivery_year,project_url,unit_count,price_range
Mazarine apartments,City Edge,North Coast,11017000,31684000,20408416.666666668,140,405,243.0,2,4,2025.0,https://www.propertyhub.site/properties/projects/mazarine_chalets?page=1,12,"11,017,000 - 31,684,000"
Porto El Sokhna,Amer Group,,3815000,8311000,5474333.333333333,52,110,72.33333333333333,1,2,2025.0,https://www.propertyhub.site/properties/projects/md4ct1990e0phwm06vn9?page=1,3,"3,815,000 - 8,311,000"
Menorca,Mardev,New Capital,5700000,10472000,7610500.0,130,272,191.5,2,3,2025.0,https://www.propertyhub.site/properties/projects/menorca?page=1,8,"5,700,000 - 10,472,000"
Midtown Condo,Better Home,New Capital,7521417,18930206,12007424.106818182,130,300,218.54545454545453,2,3,2025.0,https://www.propertyhub.site/properties/projects/midtown_condo?page=1,440,"7,521,417 - 18,930,206"
Midtown New Cairo,Better Home,New Cairo,17695045,17695045,17695045.0,265,265,265.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/midtown_new_cairo?page=1,1,"17,695,045 - 17,695,045"
Midtown Sky,Better Home,New Capital,4677596,47024790,8608808.214039125,90,350,136.11047180667433,1,3,2025.0,https://www.propertyhub.site/properties/projects/midtown_sky?page=1,869,"4,677,596 - 47,024,790"
Midtown Solo,Better Home,New Capital,58194143,98847302,76297531.8611111,400,600,496.52777777777777,5,7,2025.0,https://www.propertyhub.site/properties/projects/midtown_solo?page=1,72,"58,194,143 - 98,847,302"
ParkSide,TLD-The Land Developers,Elshourok City,6036178,7519991,6733547.0,2,138,70.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/mlx3ljfauz077dnqy5o7?page=1,4,"6,036,178 - 7,519,991"
Mountain View 1.1,Mountain View,New Cairo,24248536,28212562,25811333.769230768,215,245,221.53846153846155,4,4,2025.0,https://www.propertyhub.site/properties/projects/mountain_view_11?page=1,13,"24,248,536 - 28,212,562"
Mountain View Hyde Park,Mountain View,New Cairo,14092838,30487643,24571879.777777776,4,305,66.11111111111111,2,4,2025.0,https://www.propertyhub.site/properties/projects/mountain_view_hyde_park?page=1,9,"14,092,838 - 30,487,643"
Mountain View North Coast,Mountain View,North Coast,16106054,35678732,23117487.654761903,92,170,155.67857142857142,2,3,2025.0,https://www.propertyhub.site/properties/projects/mountain_view_north_coast?page=1,84,"16,106,054 - 35,678,732"
Jirian Mountain View,Mountain View,,7755153,54075369,19005914.397260275,60,320,149.04109589041096,1,5,2025.0,https://www.propertyhub.site/properties/projects/mq6wy7ip4pze11pqwmmf?page=1,219,"7,755,153 - 54,075,369"
Murano,Wadi Degla,,12998380,29987080,16961896.42857143,125,235,177.14285714285714,3,4,2025.0,https://www.propertyhub.site/properties/projects/murano_wadi_degla?page=1,14,"12,998,380 - 29,987,080"
Sea Shell,G developments,North Coast,15200000,190000000,58446666.66666666,71,407,217.46666666666667,1,8,2025.0,https://www.propertyhub.site/properties/projects/mxj5vhe6bjm0xyo2o3c3?page=1,15,"15,200,000 - 190,000,000"
Lake West 4,Cairo Capital,Sheikh Zayed City,17381453,23523089,20773862.0,235,304,267.4,3,4,2025.0,https://www.propertyhub.site/properties/projects/mxqfo66gt64qppqj5eas?page=1,5,"17,381,453 - 23,523,089"
Westview Residence,HDP,,7599883,10596496,9071994.0,100,150,130.0,2,3,2025.0,https://www.propertyhub.site/properties/projects/mywthha16c2mhk2krw5o?page=1,4,"7,599,883 - 10,596,496"
rovan views,EPD,Sheikh Zayed City,5658000,11168699,7666122.416666667,105,164,124.83333333333331,2,3,2025.0,https://www.propertyhub.site/properties/projects/n0mp2f99ygi319yb40wi?page=1,24,"5,658,000 - 11,168,699"
The Ridge,Al Ahly Sabbour,El Mostakbal City,29034000,44863000,35614222.222222224,205,313,233.0,3,5,2025.0,https://www.propertyhub.site/properties/projects/n1exgmsbrvl7zdn8l55l?page=1,9,"29,034,000 - 44,863,000"
Ray Residence,Radix,New Capital,7847500,14361635,10264211.666666666,175,365,249.0,3,4,2025.0,https://www.propertyhub.site/properties/projects/n22upzwr23uffvubzks2?page=1,3,"7,847,500 - 14,361,635"
meraki residence,Meraki Development,Elshourok City,5980210,7974140,7497514.375,195,261,244.0,2,3,2025.0,https://www.propertyhub.site/properties/projects/n9rbn2dre0sgucelz8mm?page=1,8,"5,980,210 - 7,974,140"
Naia Bay,NAIA,North Coast,9600000,81000000,41463636.36363637,65,520,274.09090909090907,1,6,2025.0,https://www.propertyhub.site/properties/projects/naia_bay?page=1,11,"9,600,000 - 81,000,000"
Bella East,Manara Development,,5356000,11092000,8617593.75,60,120,98.125,1,3,2025.0,https://www.propertyhub.site/properties/projects/ne9uyz7yg6qsh4xdivcu?page=1,16,"5,356,000 - 11,092,000"
Neopolis,Wadi Degla,El Mostakbal City,7954160,14544280,10961498.0,130,215,167.0,2,4,2025.0,https://www.propertyhub.site/properties/projects/neoplis?page=1,15,"7,954,160 - 14,544,280"
ADVIDA,ADVA,6th Of October,19500000,29500000,25533333.33333333,360,468,432.0,4,8,2025.0,https://www.propertyhub.site/properties/projects/nffzaftlnqwc4mxacvxh?page=1,3,"19,500,000 - 29,500,000"
AMARA,New Plan,New Cairo,7109000,30287000,14577943.037974684,70,301,171.64556962025316,1,5,2025.0,https://www.propertyhub.site/properties/projects/ng8046l87dlq5pdovl71?page=1,158,"7,109,000 - 30,287,000"
Club Hills Residence,HDP,6th Of October,6556264,24415743,12325824.264,82,245,151.32,1,4,2025.0,https://www.propertyhub.site/properties/projects/nlikbzr4217qj43prd5d?page=1,125,"6,556,264 - 24,415,743"
Moray,Main Marks,New Cairo,7293000,11880000,9701666.666666666,38,66,51.66666666666666,1,1,2025.0,https://www.propertyhub.site/properties/projects/nozvroqgrwo5gy68x1sw?page=1,3,"7,293,000 - 11,880,000"
Praia View,Laverde,North Coast,4224192,15262748,8281801.75,63,167,108.25,1,4,2025.0,https://www.propertyhub.site/properties/projects/nr7ot37iorf0io72mpji?page=1,4,"4,224,192 - 15,262,748"
Palm Hills Alexandria,Palm Hills,,8964000,73666000,21441761.53846154,2,86,36.03076923076923,1,7,2023.0,https://www.propertyhub.site/properties/projects/nzq624fo62z18judu101?page=1,130,"8,964,000 - 73,666,000"
vida residence,kayan developments,6th Of October,2133000,6485000,4282055.555555556,5,190,53.61111111111112,1,4,2025.0,https://www.propertyhub.site/properties/projects/o3g5ro7ctvsry824nncd?page=1,18,"2,133,000 - 6,485,000"
heaven gardens,eagle group,Badr City,2334000,4464793,3373423.75,97,181,135.25,2,3,2025.0,https://www.propertyhub.site/properties/projects/og37qpqwejhx9zyt4i42?page=1,8,"2,334,000 - 4,464,793"
Crescent Walk,Marakez,,8464000,67098000,24950593.75,84,372,183.203125,1,7,2025.0,https://www.propertyhub.site/properties/projects/ogv1alnvno1zi0bqxk9i?page=1,64,"8,464,000 - 67,098,000"
Cloudside,Hills Developments,Sheikh Zayed City,3800000,8990000,6230000.0,79,170,129.0,1,3,2025.0,https://www.propertyhub.site/properties/projects/oh21y8lilibfn8dzym8g?page=1,3,"3,800,000 - 8,990,000"
